the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-73.90337166868687 40.817322769400995),La Casita Pre-Sch,834,EAST 156 STREET,10455,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2004953,2026750046,Bronx
POINT (-73.9004401229243 40.816299041184244),Trabajamos Hs,940,EAST 156 STREET,10455,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2005412,2027010001,Bronx
POINT (-73.9391562978906 40.84518954393462),Quo Vadis Dcc Inc.,4111,BROADWAY,10033,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063501,1021420133,New York
POINT (-73.96263838933058 40.62771826451843),Hebrew Institute For Deaf&Exceptional Children,1401,AVENUE I,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3179326,3066980051,Brooklyn
POINT (-73.94768261447074 40.62892803890384),Quality Care Early Childhood Learning Center Inc.,2918,AVENUE I,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3207032,3075930047,Brooklyn
POINT (-73.96265474516429 40.615445625924814),"Meorot Beit Yaakov, Inc.",1123,AVENUE N,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3180770,3067400049,Brooklyn
POINT (-73.94152951526112 40.617808778484275),Tiny Tots Express Pre-School,3321,AVENUE N,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3210450,3076690002,Brooklyn
POINT (-73.95403336364933 40.672082629630204),Haitian American Dcc #1 Inc.,1491,BEDFORD AVENUE,11216,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3031845,3012460001,Brooklyn
POINT (-73.95416491918253 40.64216594197124),First Impressions Nursery School-Bedford Branch,2513,BEDFORD AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3119764,3051900073,Brooklyn
POINT (-74.09098124540695 40.631204528880005),Building Blocks Montessori,55,FOREST AVENUE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5002928,5001220048,Staten Island
POINT (-74.09952625946556 40.63172595857692),Silver Lake Head Start,10,GREGG PLACE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5003236,5001310225,Staten Island
POINT (-74.15965117245479 40.631250221664864),Little L.A.Mb. Pre-School Inc.,2,GRIDLEY AVENUE,10303,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5126956,5012300016,Staten Island
POINT (-74.14269697033133 40.54513294056028),Smiles Around Us,3854,HYLAN BOULEVARD,10308,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5107672,5052030012,Staten Island
POINT (-74.0765558281141 40.59076100721665),Our P.L.A.C.E. School Inc./T.I.P.S.E/ Inc. Early Advantage Inc.,329,NORWAY AVENUE,10305,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5047816,5032520035,Staten Island
POINT (-74.08537587573986 40.618768317504035),Staten Island Mental Health,16,OSGOOD AVENUE,10304,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5016273,5006360012,Staten Island
POINT (-74.13550373440673 40.63422498863632),"United Cerebral Palsy Of Nyc , Inc. Staten Island Children's Program",281,PORT RICHMOND AVENUE,10302,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5024273,5010370006,Staten Island
POINT (-74.14957551541666 40.5525346077599),Si Com Svcs Nur Sch,11,SAMPSON AVENUE,10308,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5062569,5046240500,Staten Island
POINT (-74.0921306331554 40.581171122131146),Wonder Years Preschool,389,SEAVER AVENUE,10305,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5126957,5036600038,Staten Island
POINT (-74.19734775619399 40.518552569949904),Babes In Toyland,318,SEGUINE AVENUE,10309,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5107763,5066990007,Staten Island
POINT (-74.1527106736842 40.60869209261115),Oakdale Academy,2734,VICTORY BOULEVARD,10314,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5035098,5020850009,Staten Island
POINT (-74.08886949437469 40.63069603599587),First Foot Forward,485,VICTORY BOULEVARD,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5002888,5001200118,Staten Island
POINT (-74.18049542802967 40.563033500116724),The Gingerbread Learning Center Inc.,80,WOODROW ROAD,10312,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5076998,5056880001,Staten Island
POINT (-73.94554961113087 40.65989283814296),Little Stars Dcc Inc.,588,BROOKLYN AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3106968,3048020031,Brooklyn
POINT (-73.96541444977558 40.64993745284805),Practical Learning Ctr,22,BUCKINGHAM ROAD,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3328169,3050760014,Brooklyn
POINT (-73.95712635819936 40.667874895250826),Five Block Day Care Center,995,CARROLL STREET,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3033470,3012800054,Brooklyn
POINT (-73.92985093571251 40.68000944452067),Community Parents Hs,90,CHAUNCEY STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3325183,3016910012,Brooklyn
POINT (-73.88809318635347 40.74693288409076),Bwy Inc.,77-14,ROOSEVELT AVENUE,11372,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4036780,4014880006,Jackson Heights
POINT (-73.7349487377551 40.718174235439875),Queens Village Day School Annex #3,96-15,SPRINGFIELD BOULEVARD,11429,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4231214,4107890248,Queens Village
POINT (-73.7948995093569 40.68711641015375),Afro-American Parents #2,112-06,SUTPHIN BOULEVARD,11435,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4258993,4119660001,Jamaica
POINT (-73.81116552760504 40.718355470206305),Rainbow Montessori International,150-30,UNION TURNPIKE,11367,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4446721,4067137501,Flushing
POINT (-73.79492419293088 40.78301638736853),Yai Nyl Clearview School,16-50,UTOPIA PARKWAY,11357,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4128728,4057350035,Whitestone
POINT (-74.14976497501048 40.550777699981865),We Care Day Care,3948,AMBOY ROAD,10308,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5107661,5051420022,Staten Island
POINT (-74.18958256667146 40.532780104658556),Rainbow Day Care Dba,5394,AMBOY ROAD,10312,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5082458,5065700033,Staten Island
POINT (-74.08963582377613 40.635422751587946),Staten Island Mental Health Hs,100,BRIGHTON AVENUE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5126954,5001110006,Staten Island
POINT (-73.97855234194138 40.6681803019943),Berkeley Carroll Ccc,515,6 STREET,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3025606,3010840058,Brooklyn
POINT (-73.99985107430024 40.64445558908386),Quality Of Life Child Care,4317,8 AVENUE,11232,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3011044,3007330001,Brooklyn
POINT (-74.03098461197274 40.61993099566709),Bay Ridge Play Place,345,91 STREET,11209,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3154579,3060810143,Brooklyn
