the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-73.92897865453301 40.6701792279851),St. John's Dcc Inc.,1492,ST JOHN'S PLACE,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3037116,3013850033,Brooklyn
POINT (-73.92148061723951 40.67036996939263),Smiling Faces Christian Dcc I/T,1677,ST JOHN'S PLACE,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3039445,3014700060,Brooklyn
POINT (-73.92203187584917 40.66515742814308),Salvation Army Sutter Avenue Dc,20,SUTTER AVENUE,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3081165,3035310023,Brooklyn
POINT (-73.94366167482386 40.64677590976999),"Phl's Day Care Center, Inc. Dba Phyl's Academy",3520,TILDEN AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3110600,3049200006,Brooklyn
POINT (-73.92739967521469 40.62090112351907),Beit Yehudah Center,2082,UTICA AVENUE,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3336927,3078740052,Brooklyn
POINT (-73.83186385764871 40.760653341581694),Kon Wah Day School,135-27,38 AVENUE,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4112297,4049740051,Flushing
POINT (-73.75453412591503 40.75492790154833),South Jamaica Center For Children And Parents Inc. Iii,226-11,56 AVENUE,11364,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4458074,4074900002,Oakland Gardens
POINT (-73.85356301267863 40.73346382686114),Forest Park School/Beth Jacob,102-35,63 ROAD,11375,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4051133,4021240053,Forest Hills
POINT (-73.89972843123219 40.701020515216015),Ridgewood Pre-Sch Ctr,59-14,70 AVENUE,11385,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4084122,4035080009,Ridgewood
POINT (-73.94299267904205 40.69435748897524),Aguadilla Dcc,656,WILLOUGHBY AVENUE,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3049206,3017690007,Brooklyn
POINT (-73.95234235072309 40.716501312971715),The Williamsburg Neighborhood Nursery School,10,WITHERS STREET,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3335667,3023150001,Brooklyn
POINT (-73.9486209662908 40.79716651689223),Northside Therapeutic Ecc,1301,5 AVENUE,10029,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1078884,1016160001,New York
POINT (-73.97847263740488 40.75776355970209),Children First On 5th Ave. I/T,600,5 AVENUE,10020,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1034506,1012640030,New York
POINT (-73.9448709131834 40.82953245827714),Northern Manhattan Learning Center For Children&Family Hs,1854,AMSTERDAM AVENUE,10031,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1062192,1020830033,New York
POINT (-73.9707410893908 40.792922247611685),River Park Nursery School&Kingergarten,711,AMSTERDAM AVENUE,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1032551,1012250001,New York
POINT (-73.96988144738374 40.794189567469736),Claremont Children's School,747,AMSTERDAM AVENUE,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1055891,1018510001,New York
POINT (-73.98406516744885 40.71825134113806),Educational Alliance Hs At Ps 142,100,ATTORNEY STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1004080,1003430001,New York
POINT (-73.98104442273939 40.760620555061806),The Children's Center At Time Warner I/T,1271,AVENUE OF AMERICAS,10020,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1022709,1010030029,New York
POINT (-73.90662829165339 40.855026765827596),M.A.R.C. After School,2105,JEROME AVENUE,10453,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2094675,2031920056,Bronx
POINT (-73.90674809164675 40.81655580904033),Anna Lefkowitz Dcc,690,WESTCHESTER AVENUE,10455,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2091976,2026540002,Bronx
POINT (-73.949963112989 40.65688084896441),Kids World Day Care Inc.,1239,NOSTRAND AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3107728,3048270010,Brooklyn
POINT (-73.97354670608567 40.78815391981409),Escalera Head Start,169,WEST 87 STREET,10024,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1032229,1012180010,New York
POINT (-73.74551665706862 40.71627023119353),"Magic Rainbow, Inc. Dba:Teaching, Learning&Caring Dc",212-47,JAMAICA AVENUE,11428,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4226132,4106020034,Queens Village
POINT (-73.74429873745954 40.67718567974913),Middleton's Day Care,225-16,MERRICK BOULEVARD,11413,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4281457,4131060001,Springfield Gardens
POINT (-73.90805473753629 40.86028756755744),Little Shepherd Dcc,2260,ANDREWS AVENUE,10468,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2014734,2032180005,Bronx
POINT (-73.90396785870112 40.7747755132763),People's United Methodist Hs,39-34,21 AVENUE,11105,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,,Astoria
POINT (-73.75242179107634 40.660089154408524),Queens Community Ecc,146-05,228 STREET,11413,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4463544,4134620064,Springfield Gardens
POINT (-73.93279576546774 40.75994637320125),Bright Beginnings Child Care,35-01,24 STREET,11106,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4003978,4003380023,Astoria
POINT (-73.93279576546774 40.75994637320125),All Children's Infant Care,35-01,24 STREET,11106,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4003978,4003380023,Astoria
POINT (-73.8209672318719 40.772558098700046),Lynn Nurseryschool,146-21,29 AVENUE,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4108493,4047950048,Flushing
POINT (-73.86815599432256 40.759519982853604),Elmcor Dcc,100-17,32 AVENUE,11369,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4041703,4016860034,East Elmhurst
POINT (-73.8222155498762 40.767334906921825),Sharon Nursery School,145-15,34 AVENUE,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4112734,4049830035,Flushing
POINT (-73.88727607355783 40.75305464684633),Fairway Cooperative Nursery School,79-10,34 AVENUE,11372,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4029138,4012660001,Jackson Heights
POINT (-73.90124509449281 40.62656127877909),Paerdegat Day School,1510,PAERDEGAT AVENUE NORTH,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,,Brooklyn
POINT (-73.95283587990035 40.651946250589496),First Impression Nursery School,778,ROGERS AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3116767,3050870054,Brooklyn
POINT (-74.00138981632566 40.674817228129804),Pal Miccio Dcc,595,CLINTON STREET,11231,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3008517,3005520005,Brooklyn
POINT (-73.96137089678197 40.604212638856026),Keshet Learning Center Iii,2169,CONEY ISLAND AVENUE,11223,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3183875,3068170068,Brooklyn
POINT (-73.9092846458397 40.69636032260037),T.O.P.S. For Your Inc. Mother's Nursery Room,366,CORNELIA STREET,11237,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3077742,3033860010,Brooklyn
POINT (-73.96036511557617 40.64330479208692),Get Set Kindergarten I/T Program,1919,CORTELYOU ROAD,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3118534,3051500031,Brooklyn
POINT (-73.99293561149568 40.687893430367936),Brooklyn Heights Montessori School,185,COURT STREET,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3002846,3002800015,Brooklyn
POINT (-73.96111445100543 40.61239695300661),Yai/Nyl William O'Connor Midwood St. Brendan's,1520,EAST 13 STREET,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3329249,3067590001,Brooklyn
POINT (-73.96974117913769 40.64700772421081),Abc Day Care Center,1019,CHURCH AVENUE,11218,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3116329,3050710041,Brooklyn
POINT (-73.95533933112954 40.650150454519434),C.Y.C.L.E.,2412,CHURCH AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3117235,3051040006,Brooklyn
POINT (-73.95332774424531 40.64272055691946),"Alec Family Center, Inc.",2502,CLARENDON ROAD,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3119767,3051910001,Brooklyn
POINT (-73.97081314883386 40.78885366952317),Columbus Pre-School,606,COLUMBUS AVENUE,10024,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1032439,1012200029,New York
POINT (-73.90469201767345 40.83980954081234),Fitzpatrick House Dcc,415,CLAREMONT PARKWAY,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009418,2028970132,Bronx
POINT (-73.8912293823752 40.83648053341848),Tremont Crotona Hs,1600,CROTONA PARK EAST,10460,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009866,2029390090,Bronx
POINT (-73.88877248127356 40.83940974029553),Tremont Monterey Dcc Site 1,887,CROTONA PARK NORTH,10460,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2010091,2029570001,Bronx
POINT (-73.9119003194077 40.84957588344208),Davidson Avenue Community Day Care,1810,DAVIDSON AVENUE,10453,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2109470,2028610129,Bronx
POINT (-74.00180044786521 40.72922538915391),Little Red School House,196,BLEEKER STREET,10012,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1008299,1005260020,New York
POINT (-73.92539475403234 40.811634819995646),Eleanor James Preschool Site I,296,EAST 140 STREET,10454,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2000706,2023140054,Bronx
POINT (-73.91814432922092 40.811128562480704),South Bronx Hs Prog I,490,EAST 143 STREET,10454,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2000433,2022870135,Bronx
POINT (-73.91933566704948 40.812769730981636),Little Angels/St. Puis Hs,413,EAST 144 STREET,10454,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2000495,2022890075,Bronx
POINT (-73.99731837804553 40.71160834569047),Hamilton Madison House Ccc,60,CATHERINE STREET,10038,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077421,1001110100,New York
POINT (-73.99390974169093 40.7186782915345),Cpc Universal Pre-K,115,CHRYSTIE STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1005645,1004230022,New York
POINT (-73.96459929754731 40.80930532257595),Tompkins Hall Nursery School,21,CLAREMONT AVENUE,10027,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1059819,1019900010,New York
POINT (-73.92868890701631 40.64197569067901),Future Star Learning Center,5016,AVENUE D,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3106221,3047810007,Brooklyn
POINT (-73.9437863017155 40.62971224109461),"Children's Kingdom, Inc.",3315,AVENUE I,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3206454,3075790004,Brooklyn
POINT (-73.9386797987973 40.592041829723364),Big Apple Dcc #2,2955,AVENUE Y,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3203616,3074230038,Brooklyn
POINT (-73.98251678376506 40.68161861034252),Pal World Of Little People Hs,565,BALTIC STREET,11217,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3006388,3004010001,Brooklyn
POINT (-74.00831995561107 40.60495932409971),Sunflower Day Care Center,1704,BATH AVENUE,11214,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3168558,3064330032,Brooklyn
POINT (-73.95726798787102 40.661706533394856),Grace Pre-Sch Dcc,1800,BEDFORD AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3035245,3013270045,Brooklyn
POINT (-74.11364396844856 40.62537926204389),Staten Island Y.M.C.A. Nursery School,651,BROADWAY,10310,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5008326,5003030047,Staten Island
POINT (-74.10375757262675 40.635282943575184),Staten Island Mental Health Society Inc.,657,CASTLETON AVENUE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5002229,5001010002,Staten Island
POINT (-74.15101444270466 40.55208685182892),The Pathways Pre-School,46,GIFFORDS LANE,10308,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5107698,5054360024,Staten Island
POINT (-74.10979053339328 40.627196817950455),The Harvest Pre-School,140,HARVEST AVENUE,10310,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5007860,5002920073,Staten Island
POINT (-74.16111033557642 40.63727780036043),Fellowship Learning Center,3036,RICHMOND TERRACE,10303,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5027964,5012360043,Staten Island
POINT (-74.07889129369728 40.61574516100489),Celebration For Kids,75,SKYLINE DRIVE,10304,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5109393,5029250105,Staten Island
POINT (-74.07685114134998 40.63828719048344),Staten Island Ecc Educational Center,467,ST MARKS PLACE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5000044,5000060002,Staten Island
POINT (-73.93427672464964 40.65835840956009),Miracle Age Learning Ctr,628,SCHENECTADY AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3107688,3048260043,Brooklyn
POINT (-73.93427672464964 40.65835840956009),Young World Learning Center,628,SCHNECTADY AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3107688,3048260043,Brooklyn
POINT (-73.8906827761039 40.63252098329208),Hebrew Educational Society,9502,SEAVIEW AVENUE,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3235056,3083180008,Brooklyn
POINT (-73.96747287309873 40.63961305498232),Cortelyou Early Childhood Center,1110,CORTELYOU ROAD,11218,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3118607,3051540005,Brooklyn
POINT (-73.94979035806065 40.66608395394929),Associated Beth Rivah Hs,310,CROWN STREET,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3034180,3012970023,Brooklyn
POINT (-73.93199421717931 40.66550119845276),Ohel Sarah Dcc,771,CROWN STREET,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3038132,3014140051,Brooklyn
POINT (-73.93403586910944 40.681173909536454),Mt. Lebanon Earling Learning Center,230,DECATUR STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3047407,3016800009,Brooklyn
POINT (-73.93644459964514 40.69347540070365),Bed Stuy Ecdc Inc.,971,DEKALB AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3324973,3015980001,Brooklyn
POINT (-73.9529122231484 40.58413226332009),Garden Of Youth Pre-School,2770,EAST 16 STREET,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3246964,3087690036,Brooklyn
POINT (-73.96289758403009 40.64495905957546),Growing Assets Cdc,231,EAST 17 STREET,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3117584,3051210032,Brooklyn
POINT (-73.9698420401911 40.646966292661844),Abc Day Care Center,1015,CHURCH AVENUE,11218,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3116330,3050710042,Brooklyn
POINT (-73.95165352664078 40.65099060595411),Kids Universe Cdc,2723,CHURCH AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3253058,3050910075,Brooklyn
POINT (-73.93788462745074 40.651585806193644),Windsor Day Care Inc.,4203,CHURCH AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3109035,3048790040,Brooklyn
POINT (-73.92781048629293 40.65249243763959),Our Little Friends Dcc Iii,5221,CHURCH AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3102217,3046780039,Brooklyn
POINT (-73.93194435756716 40.64405314416791),The Little Paradise Pre-School,4714,CLARENDON ROAD,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3105588,3047680006,Brooklyn
POINT (-73.84710742091073 40.81671417436887),Dr. Richard Green Elc,450,CASTLE HILL AVENUE,10473,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2021209,2035110030,Bronx
POINT (-73.91889729834216 40.81851011793564),Mott Haven E. 146th St. D.C.C.,629,COURTLANDT AVENUE,10451,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2001876,2024110041,Bronx
POINT (-73.87100691678584 40.82978577754005),Sound Dale Day Care Center,1211,CROES AVENUE,10472,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2024083,2037480015,Bronx
POINT (-73.8912293823752 40.83648053341848),Tremont-Crotona Dcc/Universal Pre-K,1600,CROTONA PARK EAST,10460,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009866,2029390090,Bronx
POINT (-73.8912293823752 40.83648053341848),Tremont Crotona Dcc/Hs,1600,CROTONA PARK EAST,10460,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009866,2029390090,Bronx
POINT (-73.8807340260185 40.8814983909198),Mosholu Montefiore Head Start,3450,DEKALB AVENUE,10467,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2096396,2033270001,Bronx
POINT (-73.99859806127478 40.72670814405951),University Plaza Nursery School,110,BLEECKER STREET,10012,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1083218,1005240066,New York
POINT (-73.98497172254535 40.71629041687676),Little Star Of Broome Street,151,BROOME STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077609,1003410070,New York
POINT (-73.96150330376614 40.79654626821924),Park West Montessori School Inc.,435,CENTRAL PARK WEST,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1055480,1018390029,New York
POINT (-73.94499328919667 40.619461347082826),Small Wonders Learning Center,3012,AVENUE M,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3210350,3076660046,Brooklyn
POINT (-73.92930000337522 40.61861352992749),Munchkin Land Ltd.,4712,AVENUE N,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3220869,3078920044,Brooklyn
POINT (-73.9165448875016 40.619893877961296),Montessori Sch-Mill Basin,6311,AVENUE N,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3235908,3083630003,Brooklyn
POINT (-73.93214025891069 40.60899314727287),Infinity Day Care #1,3414,AVENUE S,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3240855,3085200042,Brooklyn
POINT (-73.9392883189554 40.59437445088764),Beachbrook Nursery School,2953,AVENUE X,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3344550,3074051001,Brooklyn
POINT (-73.94928761468414 40.59264342717438),Big Apple Day Care Ctr,2020,AVENUE X,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3203608,3074221109,Brooklyn
POINT (-73.94928761468414 40.59264342717438),Big Apple Dcc,2020,AVENUE X,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3203608,3074221109,Brooklyn
POINT (-73.96114651700393 40.58313803534941),"Skazka Iii, Inc.",702,BANNER AVENUE,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3196555,3072640138,Brooklyn
POINT (-73.98976005372353 40.60637259473117),Farber - Bruch Ecc/Jewish Community House,7802,BAY PARKWAY,11214,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3162352,3062640030,Brooklyn
POINT (-74.00597175515118 40.62475511648554),Bay Ridge Avenue Ccc Inc.,1206,BAY RIDGE AVENUE,11219,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3156435,3061550009,Brooklyn
POINT (-73.96093208868308 40.703313219123686),United Academy Hs,590,BEDFORD AVENUE,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3060113,3021920050,Brooklyn
POINT (-74.14945296690966 40.58865390243864),Children's Playhouse,85,MONAHAN AVENUE,10314,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5038029,5023750128,Staten Island
POINT (-74.16259161884363 40.54116448781248),Oakdale Academy,366,OAKDALE STREET,10312,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5068787,5053250001,Staten Island
POINT (-74.16265171853856 40.60269947250819),Big Birds Playhouse Annex,1859,RICHMOND AVENUE,10314,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5034924,5020300047,Staten Island
POINT (-74.1492551262193 40.58886012937231),Children's Playhouse Inc.,950,ROCKLAND AVENUE,10314,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5038020,5023750041,Staten Island
POINT (-74.08898383376385 40.58467284768294),Kindercare Creative,408,SEAVIEW AVENUE,10305,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5050064,5033800082,Staten Island
POINT (-74.10989161130169 40.59502278591939),Staten Island Academy,715,TODT HILL ROAD,10304,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5130212,5008730027,Staten Island
POINT (-74.13683885793525 40.613181884097365),Staten Island Montessori School,2187,VICTORY BOULEVARD,10314,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5106787,5004630001,Staten Island
POINT (-73.94238383387042 40.69957946563429),Woodhull Medical&Mental Health Ctr,760,BROADWAY,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3048341,3017230001,Brooklyn
POINT (-74.0225272959229 40.64452414547633),Georgia L. Mcmurray Batkids Center,140,58 STREET,11220,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3257058,3057780001,Brooklyn
POINT (-73.98324489163356 40.67249136212077),"Kids Of Fifth, Inc. Children's Workshop Of 5th Ave.",323,5 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3021065,3009820008,Brooklyn
POINT (-74.021403223707 40.63332284281691),C.C.B. School,6910,5 AVENUE,11209,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3145758,3058730046,Brooklyn
POINT (-74.02257306187927 40.64303004626848),Magical Years Early Childhood Center Upk,230,60 STREET,11220,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3143322,3057800006,Brooklyn
POINT (-73.85796185500072 40.75772765006528),Malcolm X Day Care Center,111-12,NORTHERN BOULEVARD,11368,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4042862,4017260005,Corona
POINT (-73.81877653297074 40.7580535774327),Flushing Ywca Elc,42-07,PARSONS BOULEVARD,11355,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,4053750006,Flushing
POINT (-73.80730678849004 40.71372913998088),Parsons Preschool,84-16,PARSONS BOULEVARD,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4208770,4097510007,Jamaica
POINT (-73.83337794214597 40.762084712138915),"Martin L. King, Jr. Memorial Day Care Center",36-06,PRINCE STREET,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4112217,4049690018,Flushing
POINT (-73.93219568712394 40.745509158113094),"Lic ""Ymca""Early Child Care Program",32-23,QUEENS BOULEVARD,11101,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,4002440024,Long Island City
POINT (-73.80484083889375 40.6748499704346),Future Leaders Center Inc.,133-13,ROCKAWAY BOULEVARD,11420,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4253202,4117000005,South Ozone Park
POINT (-73.80045431220071 40.6744808290561),Robin's Nest,140-05,ROCKAWAY BOULEVARD,11436,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4261196,4120320008,Jamaica
POINT (-73.75622321644266 40.74742845307806),Tutor Time Of Bayside P/S,61-58,SPRINGFIELD BOULEVARD,11364,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4162215,4076100040,Oakland Gardens
POINT (-73.79237749544777 40.679893228469645),Afro-American Parents Dcc #1,117-16,SUTPHIN BOULEVARD,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4260903,4120220020,Jamaica
POINT (-73.76429430156217 40.69346394521053),True Deliverance Christian Pre-Sch,188-15,TURIN DRIVE,11412,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,4103840029,Saint Albans
POINT (-73.93331011899377 40.74330445376613),Laguardia Community College Eclc Program Inc.,45-35,VAN DAM STREET,11101,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4003442,4002490001,Long Island City
POINT (-73.7312747337644 40.74137844649116),Bright Beginning In Queens Village,80-45,WINCHESTER BOULEVARD,11427,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4438347,4078700001,Queens Village
POINT (-73.90059444323357 40.744235413836954),Sweet Angels Nursery School I,64-01,WOODSIDE AVENUE,11377,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4030141,4012960075,Woodside
POINT (-73.84826484905375 40.72528956680566),Lucky Stars Of Forest Hills,68-38,YELLOWSTONE BOULEVARD,11375,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4051283,4021380029,Forest Hills
POINT (-74.19240204804396 40.53198560364404),Huguenot Pre-School,5475,AMBOY ROAD,10312,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5107786,5068150059,Staten Island
POINT (-74.23093790893483 40.522925935582954),Gateway Preschool Academy & Kindergarten,200,BOSCOMBE AVENUE,10309,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5118310,5075770003,Staten Island
POINT (-73.98361058925356 40.66890467829164),Beansprouts Of Brooklyn Inc.,410,6 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3021910,3009990041,Brooklyn
POINT (-74.01012177475589 40.63809623749609),Red Apple Child Development Center,5715,7 AVENUE,11220,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3015855,3008500004,Brooklyn
POINT (-73.98213691800265 40.66914992413981),The Children's House At Rivendell School,421,7 STREET,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3332310,3009950072,Brooklyn
POINT (-73.98772058467786 40.671013322261494),"Chickpeas Childcare Center, Inc.",211,8 STREET,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3021840,3009980001,Brooklyn
POINT (-74.03098461197274 40.61993099566709),Bay Ridge Play Place,345,91 STREET,11209,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3154579,3060810143,Brooklyn
POINT (-73.97203031358632 40.692456587854196),Oasis For Children Day Care,170,ADELPHI STREET,11205,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3058332,3020730038,Brooklyn
POINT (-73.93915184680908 40.66974875410402),First Step Ecdc,317,ALBANY AVENUE,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3037244,3013880005,Brooklyn
POINT (-73.91901286792756 40.648087816931174),Doja Day Care Center,8615,AVENUE B,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3104653,3047460104,Brooklyn
POINT (-73.93732813047468 40.83107784978),Morningside Dcc,2967,FREDERICK DOUGLASS BOULEVARD,10039,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1084520,1021060003,New York
POINT (-73.99067829010176 40.71698535150094),Manhattan Chinese Cultural Services Day School,323,GRAND STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1004005,1003090011,New York
POINT (-74.00931667132798 40.71774436841116),Washington Market Sch,55,HUDSON STREET,10013,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1001544,1001430004,New York
POINT (-73.9373029392401 40.8196673833722),Graham-Windham Harlem Ccc,669,LENOX AVENUE,10037,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1085366,1020120025,New York
POINT (-73.89918057182307 40.85522054099882),Archdiocese Of Ny/St. Simon Hs,2195,VALENTINE AVENUE,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2013546,2031490140,Bronx
POINT (-73.90707619658075 40.89791591741596),Herbert G. Birch E.L.C.,475,WEST 250 STREET,10471,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2087589,2058334237,Bronx
POINT (-73.9005286712034 40.872873729076446),Reservoir Day Care,2840,WEBB AVENUE,10468,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2015415,2032500063,Bronx
